review,label
점심시간만되면 문전성시인곳. 혼자와서 먹는사람도 많음. 진짜 꼬수운 청국장 생각날때 가는곳. 반찬은 쪼끔부실하지만 주물럭 창국장은 맛남,1.0
맛있어요,1.0
.,1.0
반찬이 부실하네요,1.0
맛있어요,1.0
맛있어요,1.0
오랜단골인데 최근 더 맛있어진것같아요,1.0
식당이 점점 변하네요 좋은 기억 많이 있었는데 점점 양도 적어지고 직원분들 표정도 많이 안좋구 오늘은 먹으려고 봤더니 새끼 바퀴벌레가 빼꼼 얼굴을 내미네요 ..... 이제 여기도 못갈것 같아요,0.0
굿,1.0
"청국장,제육볶음",1.0
맛있어요!,1.0
맛나요!!!,1.0
가성비. 진짜. 맛집이네요 ㅎㅎ ㅎㅎ 맛있어요,1.0
맛있어요,1.0
메뉴가 하나밖에 없어서 자리에 앉는 순간 사람 수에 따라 저절로 주문이 들어가네요. 신발을 벗고 들어가야 하는 점이 아쉬웠지만 맛있게 잘 먹었어요.,1.0
엄청불친절하고손님을하대합니다~,1.0
좋아요,0.0
맛이 조아요,1.0
굿,1.0
단일메뉴 청국장+제육!! 들어가면 주문이 들어갑니다,0.0
맛있어요,1.0
청국장정식 맛집 유명하고 가격도 싸고 맛도 좋고,1.0
좋아요,1.0
유퀴즈 온더블럭에서 주물럭청국장 맛집으로 방송나와서 가봣는데 역시나 사람이 많더군요 가격대비 음식맛도 좋고 맛있게 먹고왔어요~,1.0
냠냠,1.0
맛있어욘,1.0
가성비 맛도 좋아요,1.0
좋아요,1.0
청국장이랑 제육 맛나요^^,1.0
맛있어요,1.0
좋아요,1.0
"맛있어요, 5번째 방문",1.0
맛도좋고 가격도 착해요!,1.0
청국장 맛있습니다 :) 고기양이 예전보다 조금 준거 같아서 아쉬워요,1.0
맛있어요!!,1.0
친절하고맛잏어요,1.0
맛있어요,1.0
맛있고 가성비 좋아요!,1.0
늘 한결같은 맛이예요,1.0
맛있어요!,1.0
좋아요,1.0
좋아요,1.0
좋아요,1.0
좋아요,1.0
ㄱㅅ,1.0
좋아요,1.0
좋아요,1.0
주물럭 청국장 진짜 맛있어요~,1.0
중국김치만 아니면 별다섯개입니다^^,1.0
맛있어요~~~~,1.0
동네 찐 맛집 인정. 주차부분이 좀 아쉽긴 하지만 가성비 최고 맛있어요~,1.0
굿,1.0
좋네요,1.0
맛있어졌네요,1.0
고기도 반찬도 맛있어요~ 변함없는 맛이라서 칭찬합니다 ㅎㅎ,1.0
굿,1.0
맛있게 잘먹었습니다 ^^,1.0
맛있어요! 밥은 처음 주문할때 많이 달라고 하세요!!!,1.0
가성비 좋습니다. 전체적으로 짠 편입니다.,1.0
좋아요,1.0
갈때마다 배부르게 맛있게 먹고옵니다. 건강한 맛과 반찬들입니다~~ 옛날부터 방송 많이 나온 곳! 강추강추 주인할머니 오래오래 건강하시길 ㅜ,1.0
좋아요,1.0
좋아요,1.0
너무 맛있어요~~,1.0
내가 좋아하는 맛집. 포장할수있어서 좋아요,1.0
청국장 굿,1.0
맛있어요,1.0
맛집이에요~,1.0
좋아요,1.0
한가지 매뉴로 맛있으나 남자 직원이 퉁명스럽습니다.,1.0
완짱,1.0
청국장도 고기도 아주 끝내줘요~^^,1.0
맛있어서자주갑니다,1.0
짱,1.0
좋아요,1.0
굿,1.0
조아요,1.0
맛있어요,1.0
굿,1.0
좋아요,1.0
잘먹었습니다. 좋은거래 감사합니다.,1.0
좋아요,1.0
포장해서 먹었어요! 가격은 1만원이었고 1.5인분 정도 되었어요. 반찬은 마늘짱아찌만 싸주셨어요. 겉절이가 비싸서 그런지 ㅠㅡㅠ 그래도 맛있게 잘 먹었어요,1.0
좋아요,1.0
좋아요,1.0
좋아요,1.0
한그릇 뚝딱이네요 제육도 넘 맛있어요,1.0
ㅈㅌ,1.0
굿,1.0
맛있어요,1.0
두번째 방문 역시만족,1.0
너무 맛있어요,1.0
맛있게 잘 먹었습니다➰,1.0
맛있어요,1.0
맛있어요,1.0
짱맛,1.0
찐인생맛집.... 쌈채소도 엄청많이주시고 걍 가세요,1.0
상도동 다래식당 맛있는 녀석들 주물럭 청국장 맛보고 왔어요. 예전에 방문했을때 나름 맛있게 잘먹고 왔었기에 이번에 재방문하게 되었답니다. 이번에도 역시 맛있게 잘 먹고 왔는데 예전의 맛 그대로 를 유지하고 있었네요. 재방문 했던걸 후회하지 않았고 맛있게 잘먹고 왔어요. 상도동 부근에서 주물럭을 좋아하거나 간단하게 한끼 해결할곳을 찾게 된다면 한번쯤 맛을 보는것도 괜찮은 곳일듯 해요. #상도동다래식당 #다래식당 #상도동맛집 #맛있는녀석들주물럭청국장,1.0
맛있어요,1.0
ㅈㅌ,1.0
내맛집,1.0
마싯어욤 두명이서갔는디 3인분먹어써욥 상추가 싱싱해서 조아옵,1.0
청국장 맛이 예전같지 않네요.,1.0
맛있어요,1.0
늘 먹던 맛이지만 청국장이 밋밋해졌다 너무 싱겁다는 느낌,1.0
청국장도 맛있는데 주물럭도 진짜 맛있네요! 가성비 좋아요~든든하게 잘먹었습니다🥰,1.0
친절하고 맛있어요,1.0
동네 맛집!!!,1.0
동작구 맛집~! 주물럭 청국장 양이 푸짐하고 맛있어요~!,1.0
"주물럭도 맛있고, 청국장도 맛있습니다. 다만 직원들은 친절하지 않아요.",1.0
맛있어요,1.0
진짜 간만에 외식! 맛있었습니다,1.0
주물럭이 너무 맛있었어요!,1.0
맛있어요,1.0
단일 메뉴로 든든한 한끼가 되며 내 입맛에 정말 딱!! TV에도 나왔던 맛집입니다.,1.0
푸짐하고 맛있어요,1.0
레전드 맛집 중 하나! 가격대비 푸짐한 양과 맛이 훌륭합니다!,1.0
맛있고 친절합니다,1.0
#생활의달인맛집 #주물럭청국장,1.0
진짜 맛있어요~,1.0
상도동 최고맛집,1.0
고기양이나 채소 이런건 좀 랜덤하지만 맛있어요~^^,1.0
음식 맛있고 써비스 좋고 강추합니다,1.0
다래식당은 정말 맛있어요!,1.0
돟ㅇㄱㆍ,1.0
가성비 정말 끝내주고 고기도 된장찌게도 넘 맛있는곳 주차안됨ㅜㅠ,1.0
ㄱㄱ,1.0
"유명한 곳이라고 하여 방문~^^ 얼마전 유재석,조세호님이 왔다갔네여~ㅎ 메인이 청국장인데 제육?이 더 맛나네여~ 밑반찬도 깔끔하고 ᆢ단일 메뉴라 매일은 힘들고 가끔 먹음 ~ 손님이 많아서 그런 지ᆢ좀 불친절하시네여ㅜ",1.0
너무 맛있는 맛집이에요 ㅠㅠ,1.0
단일메뉴의 끝판왕~ 김치맛집,1.0
맛있는집 또 가고싶은집,1.0
늦어도 8pm 전에는 가야합니다. 안 그러면 못 먹어요. 상추 추가 요청하면 다 찢어진 상추를.. 주셔서 싸먹지 못하고 그냥 입에 고기따로 상추따로 넣어야합니다ㅎㅎㅎㅎ 그래도 가격대비 굿,1.0
청국장 순하고 맛있어요~^^,1.0
좋아요,1.0
맛,1.0
맛있어요,1.0
맛있어요,1.0
친절을 기대하기엔 다들 너무 떽떽거리네요ㅜ 방송에선 옷갖 착한척하는데ㅜ 막상 할머니는 손님이랑 눈이 마주쳐도 인사도 안하시고ㅠㅠ 반찬 좀 더 달라는데 지금 주방 다른거 하니까 기다리라고ㅜ 자기가 떠주던가ㅜ 아니면 손님반찬 먼저 주라고 해야되는거 아닌가? 방송 하고싶다고 전화왔는데 어쩜 그리 친절하게 전활받는지ㅜㅜ 완전 가식쩐다ㅜㅜ,1.0
우리 동네 맛집- 싸고 푸짐해요,1.0
"단일 메뉴 주물럭 청국장으로 38년을 이어온 상도동 다래식당, 맛있는녀석들 주물럭청국장으로 알려진 곳으로 가격 8000원에 돼지주물럭과 청국장이 함께 나오는 백반스타일 1인분 주문도 할 수 있어 혼밥도 가능하답니다. 상추쌈으로 먹다가 반찬 죄다 넣어 볶음밥만들어 먹으면 이 또한 별미!",1.0
맛있어욤욤,1.0
또 갈래요,0.0
청국장 부담없이 먹을수 있는 곳,1.0
"가격도 저렴하고, 양도 많고 무엇보다 맛있어요",1.0
또 가고 싶은 곳,1.0
저렴하고 맛있어요👍,1.0
"완전 맛있어용 단, 점심은 2시반 전에 가야한다는점~~~ 할머니 건강하세요~~!",1.0
동네 맛집 5점 그 이상,1.0
너무 맛있어요,1.0
정말 맛있어요!,1.0
맛있어요,1.0
청국장에 제육볶음까지.. 맛도 괜찮아요. 가까운 곳에 가성비 좋은 밥집이 있는걸 이제서야 알게된게 아쉽네요. 종종 가게 될 것 같습니다.,1.0
가성비 괜찮은 맛집,1.0
맛있어요,1.0
제육 맛나고 청국장이라 조합이 좋아요,1.0
맛있게 잘 먹고 갑니다,1.0
맛나요,1.0
일하는 분들 스텐리스 그릇 탁탁 두어서 시끄럽고 밥먹는 사람들과 대화가 안돼요 옆테이블 사람들이 밥 한공기 더달라하니 고기더시키라고 하는거 같고요 테이블 정리도 안됬는데 사람받고 정리가 안되고 아무리 동네 장사지만 너무 어수선 맛도 진짜 걍그래요 집밥보다못함,1.0
맛있고 가성비 최고!,1.0
맛 이 다,1.0
"청국장과 주물럭이 8,000원 가격도 좋고 맛도 좋고 밥도 많이줘요 진짜 오래된 동작구 맛집 #동작구 #노량진 #상도 #주물럭청국장 #주물럭 #청국장",1.0
너무맛있었어용 ㅋㅋ,1.0
가격도 올랐는데 양은 준거 같고 상추도 더 달라고 했더니 3장 주고 가네요. 예전에는 상추랑 알배기 배추랑 엄청 많이 줬는데 ...초심을 잃으셨어요.반찬 더 달라고 해도 한가지만 띡 갔다주고 마음 상해요,1.0
단일 매뉴여서 더 전문성있이 서비스해주시는거 같아요~ 만족스러운 식사였습니다^^,0.0
갈때마다 가격이 올라있네요,1.0
동네 맛집입니다 한끼 가족들과 먹기 좋아요,1.0
"청국장과 돼지불백 👍, 단일 메뉴(8,000)",1.0
청국장과 돼지불백 👍,1.0
맛있어요~ 점심엔 웨이팅 ㅜㅜ 마늘장아찌 사랑입니다 !,0.0
좋아요,1.0
아.....너무 건강하게 맛있는.. 단호박스프는 베스트이고 따듯하게 볶은 버섯 샐러드. 정말 맛있었어요♡.♡,1.0
먹느라 사진을 피자밖에 안찍었는데 진짜 너무 맛있어요👍 건강하면서 맛있는 음식이라 두배로 행복ㅎㅎ,1.0
파스타 맛있어요. 분위기도 좋고~,1.0
건강하고 안전한 먹거리를 만드는곳이네요,1.0
건강한 맛이에요,1.0
닥터로빈은 늘 음식이 깔끔하고 속에 부담이 없어서 좋아용 잘 먹고 갑니다 :),1.0
설탕을 쓰지 않고도 이런맛이 나다니.. ㅎ 특히 단호박 콩크림파스타 너무 부드럽고 맛있어요.,1.0
건강한 맛이지만 맛있는! 직원분들도 다들 너무 친절하세요😊😊,1.0
친절하진 않은데 넓찍하네요,1.0
생각보다 맛있어요,1.0
직원분들 친절하시고 음식도 맛있고 조용하고!,1.0
"간이 쎈 편이 아니라서 좋았고, 로제콩크림비프파스타는 소스도 적당하고 고기에 불 향이 은은하게 풍겨서 맛있었어요!",1.0
단호박베이컨콩크림파스타 취저 콩크림이 이런 맛을 내다니 넘 맛있어요 다른 메뉴도 맛있었고 조미료맛 아니고 건강한 맛이라 좋았어요,1.0
좋아요,1.0
단호박 베이컨 콩크림 파스타랑 시저 샐러드여요. 식당 분위기는 모던하고 따뜻한 느낌입니다: ),1.0
다신 방문하고 싶지 않은 불쾌한 서비스.. 정** 매니저님 안내와 주문 받으시며 몇 번의 한숨을 쉬신건지 점원보다 못한 서비스에 황당한 경험이었습니다.,0.0
맛있어요,1.0
매장 분위기 좋고 음식들 맛있어용😍,1.0
문을 열어두어 쾌적했고 맛있었어요 !!,1.0
내부도 넓고 쾌적해요 음식은 천연감미료와 자연재료로 담백하긴한데 파스타는 좀 느끼한게 단점이구요 리조또는 맛있었어요 자몽히비 에이드는 그리 달지도 않고 건강한 맛이라 굿이에요,1.0
건강한 재료로 만들어서 건강하고 담백한데 좀 느끼하기도 해요 자몽히비에이드는 많이 달지않아서 좋았어요 여기는 단호박스프가 맛있는곳이에요,1.0
건강한 맛이에요,1.0
good,1.0
건강한 밥상입니다,1.0
너무 맛있고 좋아요,1.0
맛있어요,1.0
건강한 맛이에요,1.0
맛있어요,1.0
굿,1.0
굿,1.0
맛있어용,1.0
굳,1.0
마싯숴,1.0
라이스는조금짜고 피자는정말맛있었어요,1.0
아이 생일날 가서 맛있게 먹었어요~~,1.0
메뉴가 모두 건강하고 맛있어요!!,1.0
단호박 스프 참 맛있어요,1.0
호박스프와 닥터로빈피자 맛있어요.,1.0
좋아요,1.0
불친절,0.0
굿,1.0
맛있어요~~,1.0
맛있어요,1.0
닥터로빈 좋아요! 건강한 재료로 맛있고 메뉴도 다양해서 좋아하는 곳입니다! 흑석점 위치도 좋고 매장도 넓고 깔끔해서 좋네요^^,1.0
조았어요,1.0
건강한 느낌이면서도 맛있어요! 특히 리코타 가지 피자 추천💛🧡 평일점심에도 붐비는 편이라 예약하고 가시는 걸 추천드려욥,1.0
강추,1.0
국물파스타 맛있고 닥터로빈 통단호박스프는 언제나 맛있네요 주차도 편하게 발렛 이용할 수 있어서 좋아요,1.0
진짜 맛있어요!!,1.0
건강한 맛인데 맛있어요 특히 베스트메뉴인 단호박스프 2~3인분 강추! 단호박 좋아하는 가족들 최애메뉴 됐어요ㅋㅋㅋ 주차도 편리해서 어른들 모시고 가기 좋을거같아요 가족단위로 많이 오더라구요~,1.0
여길 왜 몰랐을까? 건강식 좋아하는 제게 맞춤형이에요 까르보나라 하늘끝까지 추천드려요. 낮에 혼자가서 와인한잔하고 왔는데 맘에들어서 가끔 가려구요,1.0
당연히 맛있죠^^,1.0
단호박스프 맛있어요!,1.0
.,1.0
좋아요. 자주 먹죠. 맛나요,1.0
굿,1.0
닥터로빈 ♡♡,1.0
갈때마다 만족스러워요 굿 !!!,1.0
굿,1.0
좋아요!!!,1.0
맛있어요,1.0
모처럼입맛찾았어요 힘내시고화이팅하세요~~~😀😀,1.0
넘~~ 멋진곳 입니다~~,1.0
"친한 동생이랑 먹었는데 동생도 저도 만족했어요 스프도 피자도 파스카도 건강한데, 무지 맛있어용",1.0
매장이 크고 친절해요. 음식양이 준것같아 별반개 뺍니다.,1.0
맛이 괜찮아요.,1.0
친절합니다,1.0
직원들이 친절하고 음식도맛있네요,1.0
맛있게 잘 먹었습니다,1.0
역시 닥터로빈,1.0
친절합니다,1.0
맛있어요. 2층에 키즈룸있어서 아이와 가기좋아요,1.0
굿,1.0
아이랑 가기 좋은 곳,1.0
