상가업소번호,가게명,리뷰,evaluation,sentiment,persent
MA010120220805435729,몽중헌 안국점,#상견례 #성공적,(긍정 확률 : 0.96) 긍정,긍정,0.96
MA010120220805435729,몽중헌 안국점,맛있어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805435729,몽중헌 안국점,음식맛있어요.,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220805435729,몽중헌 안국점,굿,(긍정 확률 : 0.94) 긍정,긍정,0.94
MA010120220805435729,몽중헌 안국점,음식 맛있게 먹었습니다~,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805435729,몽중헌 안국점,.,(긍정 확률 : 0.84) 긍정,긍정,0.84
MA010120220805435729,몽중헌 안국점,좋아요,(긍정 확률 : 0.95) 긍정,긍정,0.95
MA010120220805435729,몽중헌 안국점,배부른상태에서 먹었는데도 맛있었습니다. 특히 소매딤섬이 맛있었어요,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805435729,몽중헌 안국점,"한동안 몽중헌을 잊고 있었는데,오랜만에 2인석 예약하고 점심으로 딤섬과양장피요리를 함께 아주 맛있게 먹었어요.대표딤섬 구채교,하교,소메,샤오롱바오 등 다 맛있고요 이집 튀김중엔 망지춘권 너무 좋아 합니다. 점심코스 6만원 구성도 좋지만, 딤섬위주로 단품요리 먹는걸 좋아하다 보니 가격은 별 차이가 안나요. 고구마푸딩 디저트도 맛있었고요,바쁜 점심에도 직원분들 넘나 친절하시고, 2인석도 창가보이는 룸이 있어서 눈오는 날 기쁨을 음식과 뷰로 만끽했네요.",(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805435729,몽중헌 안국점,딤섬 맛있어요.,(긍정 확률 : 0.96) 긍정,긍정,0.96
MA010120220805435729,몽중헌 안국점,맛있었어요,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805435729,몽중헌 안국점,분위기는 조용하니 좋앟고 음식이 맛 있는 편이지만 가성비는 별로 나빠요.,(긍정 확률 : 0.92) 긍정,긍정,0.92
MA010120220805435729,몽중헌 안국점,특별한 날 분위기 내기 좋아요.,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805435729,몽중헌 안국점,소매 진짜 맛있어요 ! 두번 시켜먹었어요 :),(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805435729,몽중헌 안국점,좋은분들 과 좋은만남! 맛있는 음식! 더이상 바랄게없죠! 좋은시간 보내다 왔어요!  우리가 주문한메뉴 런치세트 B-1인8만원/커피는 추기 직딩들이 많은시간이다보니 1시30분되니 가득 메웠던 손님들 다 빠지셨네요!!  늘 강남쪽만 다니다 안국점 첨 와보았슴다!  우리가 주문한 메뉴 런치코스B::1인8만/커피는 추가주문🥰,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805435729,몽중헌 안국점,향마구채포 꼭 먹어주세요 룸이 있어서 회식 하기 좋아보인다,(긍정 확률 : 0.99) 긍정,긍정,0.99
MA010120220805435729,몽중헌 안국점,굳,(긍정 확률 : 0.87) 긍정,긍정,0.87
MA010120220805435729,몽중헌 안국점,음식이 넘 맛있어요~~,(긍정 확률 : 0.99) 긍정,긍정,0.99
