상가업소번호,가게명,리뷰,evaluation
MA010120220805435729,몽중헌 안국점,너무 맛있게 먹고갑니다.ㅎ,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220805435729,몽중헌 안국점,딤섬 먹으러 갔어요 가격이 좀 쎄네요 맛은 그냥 소소,(긍정 확률 : 0.94) 긍정
MA010120220805435729,몽중헌 안국점,미리 예약해서 룸으로 안내 받았어요! 주문한 음식 모두 맛있게 잘 먹었습니다 ! 짬뽕 센스 있게 두그릇으로 나눠 주셔서 좋았어요! 잘먹었습니다!,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,굿,(긍정 확률 : 0.94) 긍정
MA010120220805435729,몽중헌 안국점,구채교랑 새우탕면 너무 맛있어요.,(긍정 확률 : 0.96) 긍정
MA010120220805435729,몽중헌 안국점,코스시켰는데 맛있었어요~주말엔 예약필수,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,딤섬 맛집,(긍정 확률 : 0.93) 긍정
MA010120220805435729,몽중헌 안국점,새우가 맛잇군요 오동통통,(긍정 확률 : 0.98) 긍정
MA010120220805435729,몽중헌 안국점,비싸지만 맛나다!!!,(긍정 확률 : 0.94) 긍정
MA010120220805435729,몽중헌 안국점,너무 맛있게 먹었어요 ~ 친절하고 분위기도 좋아요 : ),(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,굿,(긍정 확률 : 0.94) 긍정
MA010120220805435729,몽중헌 안국점,"우육탕면, 하교, 소롱포예요. 우육탕면의 면에 간이 잘 배어 있어서 맛있어요. 사실 저는 한국식으로 재해석하지 않은 중국 음식은 입맛에 잘 안 맞는데 몽중헌 음식은 시킨 것 모두 맛있게 먹었어요.  평일에도 예약하고 방문하는 게 좋을 것 같아요.",(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,굿,(긍정 확률 : 0.94) 긍정
MA010120220805435729,몽중헌 안국점,딤섬맛집~😍👍👍👍👍👍👍,(긍정 확률 : 0.92) 긍정
MA010120220805435729,몽중헌 안국점,"딤섬 코스(80,000)를 먹었습니다. 정말 맛있어요 그리고 직원분들이 친절하세요. 대만족입니다",(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,외국인 친구 이별파티 했는데 많은 요구에도  친절한 응대 감사합니다. 그리고 죄송하다는 말씀도 드리고 싶었어요.. 좋은 추억 만들고 떠납니다 감사합니다!,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,친구들과 룸에서 조용히 모임,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,"의도치 않게 안국점에서 방문. 평일 65,000 코스 주문. 역시 딤섬 맛있고 모든  음식의 간이 강하지 않아서 먹고 나서도 개운함",(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,맛있게 잘 먹고 갑니다,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,맛있었지만 조금 비싸요,(긍정 확률 : 0.92) 긍정
MA010120220805435729,몽중헌 안국점,친절해요! 딤섬 또한 최고,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220805435729,몽중헌 안국점,만족스러운 식사였습니다,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,안국역점은 이전오픈 했음 좋겠다.  입구부터 불편한 몽중헌은 처음..,(긍정 확률 : 0.96) 긍정
MA010120220805435729,몽중헌 안국점,딤섬 코스요리 맛있게 먹고갑니다,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,굿,(긍정 확률 : 0.94) 긍정
MA010120220805435729,몽중헌 안국점,딤섬 너무 맛있고~ 짬뽕도 맛있음 ㅠ 탕수육은 굳이 비싼돈 주고 안먹어도될거같아요,(긍정 확률 : 0.98) 긍정
MA010120220805435729,몽중헌 안국점,긋,(긍정 확률 : 0.81) 긍정
MA010120220805435729,몽중헌 안국점,너무 맛있어요.,(긍정 확률 : 0.98) 긍정
