상가업소번호,가게명,리뷰,evaluation
MA010120220813677380,고래파스타,뇨끼랑 라자냐 먹었습니다 쫀득쫀득한 뇨끼를 생각했는데 웨지감자 씹는듯한 느낌을 받았어 파삭파삭 씹혔네용 크림소스 너무 진하지 않고 딱 적당하게 맛있었습니다,(긍정 확률 : 0.98) 긍정
MA010120220813677380,고래파스타,굿,(긍정 확률 : 0.98) 긍정
MA010120220813677380,고래파스타,맛있게 잘 먹었어요^_^,(긍정 확률 : 0.98) 긍정
MA010120220813677380,고래파스타,시킨 메뉴 다 맛있었아요~~~ 근방 양식집중에 최고~~~~!,(긍정 확률 : 0.98) 긍정
MA010120220813677380,고래파스타,아 너무 맛있어요 트로플 크림 파스타 진리,(긍정 확률 : 0.98) 긍정
MA010120220813677380,고래파스타,늦은 시간에 맛있게 먹었습니다. 크림소스 느끼하지 않고 트러플향이 잔잔해서 좋아요.,(긍정 확률 : 0.98) 긍정
MA010120220813677380,고래파스타,신촌 숨은맛집! 숨어있는 게 이상할 정도로 음식도 맛있고 분위기도 좋아요!! 소개팅하는 분들도 꽤 있는 것 같았어용 재방문 의사 1000%,(긍정 확률 : 0.98) 긍정
MA010120220813677380,고래파스타,굳,(긍정 확률 : 0.95) 긍정
MA010120220813677380,고래파스타,뇨끼맛집이라해서 가봤는데 맛있게 잘 먹었어요. 다음엔 파스타 먹으러 가봐야겠어요!,(긍정 확률 : 0.98) 긍정
MA010120220800575509,불타는곱창 신촌점,좋아요,(긍정 확률 : 0.98) 긍정
MA010120220800575509,불타는곱창 신촌점,54,(긍정 확률 : 0.97) 긍정
MA010120220800575509,불타는곱창 신촌점,굿,(긍정 확률 : 0.98) 긍정
MA010120220800575509,불타는곱창 신촌점,굿,(긍정 확률 : 0.98) 긍정
MA010120220800575509,불타는곱창 신촌점,좋아여,(긍정 확률 : 0.98) 긍정
MA010120220800575509,불타는곱창 신촌점,굿,(긍정 확률 : 0.98) 긍정
MA010120220802418610,한신포차 신촌점,"리뷰 안 남기는 편인데 남기려고 꼭 영수증 달라고 했어요 한신포차 가고 싶으시면 신촌점은 가지 마세요! 다른 매장보다 맛 없어요.. 국물도 없는 닭발은 처음 봄,잘못 시킨 줄 알았는데 냉동 된 거여서 그렇다는데 탈까봐 콩나물국에 있는 국물 넣었습니다  맛도 다른매장보다 훨씬 안 매워요.. 뭔가 아쉬운맛.. 맛은 그렇다 하는데 일하시는 남직원 2분 진짜 불친절해요 친절까지는 안 바랍니다~ 내 돈 내고 먹는데 불친절은 하면 안되죠  주문부터 응대 전부 다 기분나쁠 정도여서 추가 주문 안 했어요 기분 더이상 나빠지기 싫어서요 마지막에 계산하고 나갈때 영수증 달라할때 네라고 했는데 못 들었는지 소리지르더라고요  엄청 놀랐어요.. 사장님.. 알바 2분 바꾸세요.. 닭발 먹으실거면 신촌점만 거르세요.. 제발..",(긍정 확률 : 0.51) 긍정
MA010120220802418610,한신포차 신촌점,구,(긍정 확률 : 0.97) 긍정
MA010120220802418610,한신포차 신촌점,닭발이 맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220802418610,한신포차 신촌점,"손님 많은 시간대인것 당연히 이해 하지만, 포장하는 10분동안 잠시 앉아서 기다릴 공간이 없는지 여쭤봤을때  너무 당연한듯 안된다고 서서 기다려야 한다고 하시는 알바생분 말씀이 당황스러웠네요.   빈테이블이 두 곳이나 있었고 손님 오면 저는 어련히 알아서 일어날 생각이었는데ㅎㅎ 그렇게 대응하는 메뉴얼이 따로 있으신건지ㅎㅎ 궁금하네요 포장 손님으로써 다소 불쾌해서 남깁니다 :)",(부정 확률 : 0.89) 부정
MA010120220802418610,한신포차 신촌점,예전과 뭐가 달라진걸까,(부정 확률 : 0.55) 부정
MA010120220802418610,한신포차 신촌점,맛있습니당~!,(긍정 확률 : 0.98) 긍정
MA010120220802418610,한신포차 신촌점,치킨 너무 맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220802418610,한신포차 신촌점,냉장 닭발 냄비에 옮긴 것을 테이블에 그대로 가져다 주는데 쉰내가 확 올라와요. 웬만하면 조리해서 가져다 주세요..ㅎ,(긍정 확률 : 0.87) 긍정
MA010120220802418610,한신포차 신촌점,가격은 다른 곳과 비슷한데 양이 적어서 가성비가 떨어집니다 그리고 직원 분이 불친절하네요 닭발은 맛있었습니다 하나도 안 맵고 엄청 달아요,(부정 확률 : 0.68) 부정
MA010120220802418610,한신포차 신촌점,한신닭발 역시짱 매울땐 콩나물 팍팍넣어서 냠,(긍정 확률 : 0.94) 긍정
MA010120220802418610,한신포차 신촌점,다른지점보다 좀 덜매워요,(긍정 확률 : 0.88) 긍정
MA010120220802418610,한신포차 신촌점,친구들하고 술한잔 하기 좋아요,(긍정 확률 : 0.98) 긍정
MA010120220802418610,한신포차 신촌점,말모 존맛,(긍정 확률 : 0.97) 긍정
MA010120220802418610,한신포차 신촌점,굳,(긍정 확률 : 0.95) 긍정
MA010120220804841693,신촌관,좋아요,(긍정 확률 : 0.98) 긍정
MA010120220804841693,신촌관,굿,(긍정 확률 : 0.98) 긍정
MA010120220804841693,신촌관,좋아요,(긍정 확률 : 0.98) 긍정
MA010120220804841693,신촌관,good,(긍정 확률 : 0.97) 긍정
MA010120220804841693,신촌관,처음 가봤는데 가게 분위기도 좋고 음식가격도 싸고 엄청 맛있어요 완전강추합니다!!!,(긍정 확률 : 0.98) 긍정
