상가업소번호,가게명,리뷰,evaluation,sentiment,persent
MA010120220813677380,고래파스타,굳,(긍정 확률 : 0.95) 긍정,긍정,0.95
MA010120220813677380,고래파스타,굳,(긍정 확률 : 0.95) 긍정,긍정,0.95
MA010120220813677380,고래파스타,너무 맛있어요..또 가고싶습니다,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813677380,고래파스타,그냥 요리를 잘하셔서 어떤걸 시켜도 맛있음.,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813677380,고래파스타,분위기 너무 좋고 음식이 넘 맛있어요~~~,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813677380,고래파스타,부드러운 뇨끼와 쫄깃한 라자냐에요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813677380,고래파스타,골목 구경하다가 간판이 눈에 확들어와서 그냥들어왔는데 우와 저 한식판데 얜 너무 맛있어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813677380,고래파스타,음식이 다 맛있는데 그 중 뇨끼가 정말 맛있어요 직원분들도 친절하시고 너무 좋았습니다,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813677380,고래파스타,오일파스타 체고체고최고,(긍정 확률 : 0.97) 긍정,긍정,0.97
MA010120220800575509,불타는곱창 신촌점,제 인생맛집입니다  다른 곱창집과는 차원이 달라요 볶음밥은 필수로 먹어줘야합니다 !! 강추 꾹꾹,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800575509,불타는곱창 신촌점,진짜 맛있음 나만 갈거니까 오지마세요 줄서기 싫음,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800575509,불타는곱창 신촌점,좋아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800575509,불타는곱창 신촌점,진짜 제 인생 곱창집입니다 ㅠㅠ 소곱창 먹고싶을땐 무조건 여기로 가요 다들 드셔보세용,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800575509,불타는곱창 신촌점,"학생때부터 다녔던 신촌 곱창집이에요. :) 기본찬으로 나오던 어묵탕이 양 해장국으로!  그리고 부추대신 파김치로 리뉴얼하셨던데 사장님 요리 솜씨가 정말 좋으신것같아요. 정말 맛있었어요. 기존에 먹던거에서 바뀌어서 걱정했는데 오히려 더 상위호환 되었더라구요.  특히 양 해장국으로 소주 1병 뚝딱했습니다...ㅜ 곱창 질도 좋구요. 다른 곳에서는 모듬곱창에 소세지, 우삼겹 넣어서 일부러 양 채운다는 느낌이 있는데 이곳은 정직하게 다  모듬으로 가득 채워주셔서 맛있게 먹고갑니다 :)",(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800575509,불타는곱창 신촌점,곱창과 대창 질겨서 별로였습니다,(부정 확률 : 0.95) 부정,부정,0.95
MA010120220800575509,불타는곱창 신촌점,소곱창 진짜 오랜만이네요 볶음밥은 국룰입니다ㅋㅋㅋㅋ맛있게잘먹었어요 5명이서 8인분 먹었네요ㅋㅋㅋ,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800575509,불타는곱창 신촌점,"남자친구랑 요즘 신촌 곱창집 도장깨기하는 중인데 세상 맛있고 친절하세욤 🥺 남자친구가 대창 엄청 좋아하고 전 곱창 좋아하는데 둘다 만족하면서 먹은 첫 곱창집 ,, 🤍 볶음밥도 너무 마싯구 ,, 다음엔 볶음밥에 치즈 올려서 먹어보려구요 !!",(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800575509,불타는곱창 신촌점,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800575509,불타는곱창 신촌점,맛있어서 또 와야겠어요. 강추,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800575509,불타는곱창 신촌점,친구들이랑 편하게 가기 좋아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800575509,불타는곱창 신촌점,곱창 양도 많고 모듬 맛있었어요 가성비좋음,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220802418610,한신포차 신촌점,신촌에서 오랜만에 한잔하려고 이곳저곳을 검색을 했는데 마땅히 갈만한 곳을 찾지 못해서.... 실패할 확률을 줄이기 위해 찾아간 한신포차 닭발은 진리,(긍정 확률 : 0.55) 긍정,긍정,0.55
MA010120220802418610,한신포차 신촌점,ㅂㅁㄴㅇ,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220802418610,한신포차 신촌점,굿굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220802418610,한신포차 신촌점,한신닭발 언제 먹어도 맛있어요! 신촌점은 매장이 넓어서 6명이서 갔는데도 무리 없이 잘 먹고 왔습니다 :),(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220802418610,한신포차 신촌점,매장도 진짜 크고 좋았어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
