review,label
분위기도 좋고 커피도 맛나요,1.0
굿,1.0
밥알은 훌룡 김치도 훌룡함 곰탕 자체는 호불호 강함 하지만 무엇보다 기분나쁜건 서비스가 별로임 머슴이 눈치보며 밥먹는 느낌,0.0
각자 입맛이 있겠지만 맛집 맞아요 굿굿,1.0
빠르게 나와서 좋아요^^,1.0
맛있습니다.,1.0
어느 덧 단골이네요..........ㅋㅋㅋ,1.0
테이블이 너무 작아서 불편했어요…ㅠㅠ,0.0
음식이 정갈하고 맛있습니다 가성비좋은 맛있는 분식집이 집근처에 있어서 좋네요,1.0
카츠가 식어있고 따라서 치즈도 굳어있어요 인스타 맛집이라고 해서 갔는데 돈 아까워서 다시는 안 갈 거예요,0.0
진짜 맛있음.,1.0
존맛,1.0
역쉬 남산돈가스,1.0
청국장 한그릇 하고 싶을때 가격대비 매우 훌륭하다 한가지 팁을 더하자면 순두부 찌개를 꼭 드셔보시라 감칠맛과 고소함이 다르다,1.0
"정말 맛있었었습니다. 까르보나라 파스타와 고구마 피자에 각각 6천원씩 추가하여 스프, 빵, 샐러드, 사이다, 디저트까지 먹었는데 배부르게 먹을 수 있었습니다. 또 방문할 예정입니다.",1.0
다녀왔어요,0.0
야채가 크고 맛있습니다모처럼 건강하게 식사했어요!,1.0
이 그지 같은 카페는 왜 존재하는거야,0.0
정말 깔끔하고 맛있어요,1.0
퇴근길에 닭강정집보여  꿀삐닭강정2호로 하나사서 맥주랑 함께 먹었는데 양도 많다보니 남겼는데 맛도있네요 최고,1.0
주중 저녁시간 8명 예약으로 잘 먹고 왔습니다. 음식도 좋고 가격도 좋고~^^,1.0
정말 좋아요 ㅎㅎ 또가고 싶습니다,1.0
너무맛있어요 꿔바로우 짱,1.0
맵기도 적당하고 맛있어요. 가게 내부가 깔끔해서 이런 시국에 마음이 놓이네요~,1.0
맛있어요^^,1.0
"갈때마다 만족! 다만 음식이 나올때 직원분들이 까먹은 적이 좀 있고 셋트메뉴를 먹을때 스프가 식전에 나와야하는데 미스나서 거의 식후에 먹은게 좀 아쉬웠어요 ㅜㅜ 음식은 정말 맛있습니다! 생각나면 방문하는 곳이라서 아마트리치아나 파스타, 마레 파스타 최애 메뉴예요 ㅎㅎ 피클도 정말 맛있고 파스타 양많이를 외치면 양을 넉넉히 주시는 점도 너무나도 만족스러워요 가성비 짱짱",1.0
진짜 왜 평이 좋은지 알겠어요 맛도 맛이고 양도 혜자고 사장님 마인드가bb 더 대박 나셔야 한다고 생각합니다! 사당 별 볼일 없는데 여기때문에 또 가고 싶어요!ㅠㅠ,1.0
디저트를 기대했는데 빵이 상온에 진열되어있어 수분이 다 날라가 퍽퍽했습니다. 커피도 소소입니다 특색이 별로 없어요..,0.0
가성비 좋은 김밥과 친절하신 사장님 항상 잘 먹고있어요,1.0
산나물이 한가득 신나고 맛있게 먹었어요 또 오고 싶어요,1.0
"바삭한 감자튀김이 무한으로 리필되고, 부대찌개 안에 들어간 다양한 사리도 알차서 좋았어요! 중국당면도 들어가는 것 같았는데 맛있더라고요 :) 스팸사리도 추가해서 술안주로 맛있게 먹었습니다. 다음에 노량진 가게되면 재방문 할 것이에요~",1.0
가격대비 맛도 괜찮고 배부르게 식사 잘했습니다^^,1.0
LG팰리스 시절부터 저에게는 최고의 밥집이었습니다. 카카오맵에 한동안 안나와서 리뷰를 못올렸는데 저는 아직도 여기만한 제육볶음 집을 찾지 못했어요.,1.0
흠.. 명성만큼은 몸하고.. 그냥 일반맛. 양은 푸짐.,1.0
"가격대비 맛, 양 만족스럽습니다. 맛있게 너무 잘 먹었습니다.",1.0
겉은 바삭하고 속은 촉촉하니 맛있습니다. 가격이 좀 있습니다,1.0
맛있고 저렴해요!,1.0
콩국수 맛집,1.0
굿,1.0
다 맛있는데 런치세트에 나오는 샐러드가 향이 강해서 못먹겠어요,1.0
맛은 나쁘지 않았는데 양이 적고.. 테이블조금차니까 너무 바빠보이시더라구요..일단 양이너무적어서 별뺐아요 10000원인집도 이정도는아닌데 ㅜㅜ 논현이라 그런가싶은데,0.0
이틀 연속으로 방문했어요~ 리에또가 있어 행복해요❤️,1.0
자주 오는 곳인데 깨끗하고 좋아요,1.0
남산은 역시 돈가스!!!,1.0
짬뽕먹었는데 국물이 미리 끓여놓은듯 채소가 흐믈흐믈 그닥,0.0
항상 맛있게 먹고있어요,1.0
맛나요~,1.0
마늘돈까스가 너무 맛있었어요!!,0.0
맛있었고 5명이서 배부르게 먹고왔습니다 다음에도 사당에서 약속잡아서 리에또가기로했습니다~~저희는 모든메뉴 6천원추가해서 커피까지 마시고왔네요ㅎㅎ,1.0
자리가 애매 ,0.0
맛있어용^^,1.0
마약을 타서 밥과 육수를 만드는 곳입니다 !!!! 밥은 두그릇 시키세요 후회 없는곳입니다,1.0
잘 먹었습니다! 원래 리뷰 잘 안 쓰는데 정말 만족해서 굳이 영수증 받아서 쓰고있네욥 진짜 맛있어요 꼭가세요두번가세요디저트너무귀여워!!!!!!!!!!@,1.0
코로나가 무서워서 포장해가용 맛은 당연 알고 있는 맛있는 맛이요 ㅋㅋ,1.0
두명이서 갔는데 완전 배부르게 먹음 ~ 맥주랑 먹기 좋아요,1.0
소스는 엄청 달달한 편인데 돈까스 자체는 맛있넹ㅎ,0.0
파스타는 전부 너무 맛있게 먹었어요~~ 샐러드는 좀 밍밍한 맛이라서 소스가 조금 더 듬뿍이면 좋겠다 생각했네요ㅎ 무튼 음식은 전반적으로 너무 좋았는데.. 좌석이..좀.. 들어갈 때부터 창가좌석 다 예 약이라고 다른데 앉아야된다 하셨는데.. 어떤곳은 우리가 다먹고 나올때까지 비어있고.. 제가 예약할 때는 뭐 좌석 위치를 지정하는 것도 없었는데.. 좌석은 그 시간에 예약한 사람들 오는 순서대로 원하 는 곳에 앉을 수있게 하는게 맞지않나 싶어요. 좌석땜에 좀 빈정상했네요ㅎ,1.0
우동이 이렇게 맛있을 수 있다니 놀랍습니다. 솔직히 튀김은 그냥 그렇지만 면발이 뺨을 치며 올라오는 거 같이 탱탱합니다. 최고의 우동집.,1.0
최고의 맛근데 사람이 넘 많아요ㅜㅜ,1.0
직원분도 친절하시고 맛있어요 ! 믿고 먹는 라화쿵부,1.0
ㅏㅅ있어용,1.0
바질크림파스타 진짜 인생파스타에요!!ㅠㅠ 식전빵이랑 후식까지 진심 짱맛❤,1.0
너무맛있어서 남기지 않고 다먹엇어요!! 강추입니다!,1.0
너무 맛있고 가격이 너무 착하고 사장님 마인드 멋있으세요~ 오래오래 번창하세요!!,1.0
"주말에 남산 갔다가 돈까스 먹으려고 돈까스거리를 쭉 내려가면서 살펴보고 있는데, 유일하게 줄 서 있는 돈까스 집이 있어서 바로 줄서서 웨이팅했어요. 그때시간이 4시, 식사시간도 아닌데 줄을 서있길래 기대감이 생기더라구요. 결론은 정말 맛있었고 만족스러웠어요. 어른 둘, 초등생 둘이서 일반돈까스 2개, 매운돈까스1개, 공기밥1개 추가해서 배불리 먹었습니다. 돈까스 빵가루는 바삭한데 부드럽고 매운돈까스도 적당히 맛있게 맵더라구요. 기름지다는 평도 있던데, 주방장님 기복(?)이 있나봐요. 어쨌든 저희가족은 다 맛있게 먹고 왔습니다~",1.0
"너무맛있어요...
냉동삼겹살 집에서 어렸을때 먹었던 기억나서 좋구
맛도 훌륭해용!!

들어가는 순간부터 냄새가 확...ㅋㅋㅋ
직원분들도 친절하시고 삼겹살도 너무 맛잇고 ㅎㅎ

담주에도 바로 예약 추가했어요",1.0
리에또는 항상 찾는 세련된 레스토랑입니다!! 음식도 푸짐하고 맛있고 깔끔하고 강추입니다 ㅎㅎ,1.0
두번째 이용인데 두번 다 만족스러웠어요,1.0
고기도 반찬도 맛있는데 직원분들이 너무너무 친절하시네요   엄마 생신으로 갔었는데 미역국도 챙겨주시고 너무너무 감사했어요 자주갈게요 번창하세요,1.0
서비스가 엉멍이다 불친절하다 배째라씩 대응,0.0
빠르게 나오고 좋아요^^,1.0
주말 저녁 친구들과 함께 좋은시간 보냈습니다.가성비 너무 좋고 맛도 좋아요~!!!,1.0
좋아요.,1.0
맛있는 빵과 다양한커피맛을 선택해 즐길수있어요,1.0
너무 맛있어요,1.0
"예전맛 그대로, 서비스도 굿 좋아요^^ 절 기억하실지 모르겠지만, 여사장님 못봽고 온 게 아쉽네요 ㅎㅎ",1.0
내맘대로 마라탕한그릇만들어 먹는재미가 쏠쏠해요. 매운거좋아해서 3단계 맛있게매워요 추천,1.0
가격대비 아주 좋은 퀄리티인 것 같습니다.,1.0
커피도 부드럽고 좋아요~,1.0
추억의 장소라 5년 만에 방문했어요. 가격은 낮추고 서비스의 질은 올렸더라구요. 사장님 멋져요.,1.0
여길 왜 몰랐을까? 건강식 좋아하는 제게 맞춤형이에요 까르보나라 하늘끝까지 추천드려요. 낮에 혼자가서 와인한잔하고 왔는데 맘에들어서 가끔 가려구요,1.0
아싸 계란마리 계란마리,1.0
#건대점 #맛있어용 #마라탕,1.0
내부가 정말 넓어요 테이블도 커서 회식이나 모임하기도 좋고 서비스도 마음에 들어서 자주 찾는곳입니다,1.0
너무 작다,0.0
최애카페 최고ㅠㅠㅠ,1.0
응대할거면 제대로 하든가 하는둥마는둥 그러시면은 안돼죠 기분만 상하네요,1.0
3호점 갔는데 조금 불친절하네요... 맛은 음...,0.0
맛있어요!,1.0
맛있고 서비스좋고 깨끗했어요 양도많아요,1.0
수내에서 유일하게 좋아하는집,1.0
언제나 맛있는 라화쿵푸 마라샹궈. 고기에 다양한 선택지가 있어 좋다.,1.0
퀘사디아 넘 맛있어요,1.0
예약했더니 더 많이 신경써주셨던것같아요 친구랑 조용한자리에서 편하게 식사할 수 있었습니다 ㅎㅎ 메인요리도 물론 맛있었지만 빵이랑디저트가너무맛있었어요 ㅎㅎㅎ,1.0
이렇게 퐁퐁하고 맛있는 식전빵음 처음 먹어요.. 로제파스타 면이 진짜 쫄깃하고 고소하고 소스 미쳤습니다 샐러드랑 같이 먹으면 더 맛있어요 곱빼기도 무료라 양껏 먹었네요 스테이크 안질기고 부드럽 고 육즙 오져요 점심 주차는 안되고 공용주차장 시간당3천원이예요 저녁은 무료주차 가능인듯 네이버페이로 예약하면 10프로 할인입니다 앞에 주차공간은 거주자우선이라 대면 안돼요 음식은 꼭 나오 자마자 식기전에 드세요,1.0
여전히맛있네,1.0
요즘 이렇게 친절한 식당이 많지 않은데 갈때 마다 힐링이 되네요 잘먹었습니다 번창하세요^^,1.0
예약해서 편하게 즐겼어요~,1.0
매번 가는 곳이지만 맛도 맛이고 음식서빙을 도와주시는 이모님들이 항상 친절하세요 번창하시길 바랍니다,1.0
최애 혼밥 식당입니다.사장님도 친절하시고 ㅎㅎ 항상 변함없는 맛에 자주 갑니다.철판 볶음밥 강추해요,1.0
가끔 가는 매장이다. 이런 매장은 많아야 좋을거 같다. 갈때마다 배부르게 먹고 나온다. 다른 파스타 집에서 먹고 나올때면 항상 뭔가 조금부족했는데 여기서는 항상 든든하게 나온다. 물론 여기보다 맛있 는 매장은 많다. 근데 여기보다 가성비 좋은곳은 찾기 힘들듯~ 피자하고 파스타에다 6000원 추가해서 세트로먹었는데 너무 배불리 먹었다. 당연히 맛 또한 좋다ㅋㅋ 아쉬운게 있다면 피크타임때 가면 사람이 많아 어수선 하다ㅜㅜ 이거빼고는 정말 편안하고 친구같은 매장이다~~ 앞으로도 자주 이용할거다~ ㅋㅋ,1.0
친절하고 가격도 괜찮았어요^^사장님 친절하셔서 짱좋음ㅋ,1.0
와 진짜 맛있다 다 맛있다ㅜㅠ 미쳐쏘 또 가야지ㅠㅜ,1.0
헉...진짜 맛있다...면이 일단 씹는맛이 좋고국물 진하고 최고의 맛임ㅠㅠ,1.0
맛있어요.,1.0
별로,1.0
"두번째 방문인데 여전히 음식은 맛있고 분위기도 좋았습니다~ 식사 후 나오는 앙증맞은 디저트에다, 계산할 때 한번 더 기분 좋아지는 곳이었네요 잘먹었습니다~",1.0
맛도 있고 양도 많고 친절하셨어요. 개인적으로 피클이 정말 맛있었어요 ㅎㅎ,1.0
좋아요~~~맛도 다 좋았습니당ㅎㅎㅎ,1.0
내사랑 리에또~~~ 이태리식당 많이 가봤어도 여기만한곳이 없는거 같아요 가격도 저렴하고~ 식전빵도 맛있고 양도 푸짐하게 주셔서 만족~~~ 아주 오래간만에 모임있어서 예약하고 갔는데 여전히 맛있고 친절하셔서 정말 기쁘고 기분좋고 행복한 모임을 했어요~ 감사합니다^^ 먹는데 정신팔려서 사진을 못찍었다는요~~~ ㅋ아쉽~,1.0
맛잇어요,1.0
"5월 24일 오후에 방문했을때 있던 단발머리+검은뿔테 안경쓴 여자 직원 불친절이 정도가 지나치네요 처음엔 한국말 서툴러서 그러겠거니 이해하려고 했는데 어설프게 배워놓고 기분나쁜 어조로 말을 막 뱉어요 외국어가 서툴면 말을 사려서 하던가, 아님 더 잘하는 직원을 뽑던가 했음 하는데 직영점인데도 이렇게 관리가 안되는건가요",0.0
불친절,0.0
기다리면서먹을정도는 아니고 직원이불친절해요 맛도 그냥저냥입니다 거기다 위생도 별로이고 먹고나서 속이굉장히미식거려요....돈아까움.....돈까스도 크기만크고 매우얇음.....다신안감.....,1.0
친구랑 같이 저녁 먹으러 예약하고 갔는데 직원분들 모두 너무 친절하셔서 기분 좋은 식사 하고 왔습니다! 음식도 파스타 곱빼기에 피자 해서 아주 배부르게 먹고 왔구요!!네이버 예약하면 할인까지 해주니까 자주 이용하게 될 것 같아요!!,1.0
대기시간만 아니면 매주 가고싶은 곳. 이런 스타일 핫케익집 또 없을까요? 평일 쉬는 날 생기거나 휴가나면 분기별로 꼭 한 번은 들러서 트리플치즈 세트 먹어야 개운하네요. 맛도 변함없이 유지해주셔서 감사한데 오래오래 해주시길...,1.0
식전빵도 맛있고 양도 많고 직원들도 친절합니다.,1.0
닭요리 기인이 있는 맛집,1.0
김치찌개도 맛있어요! 다시방문할게요,1.0
맛이 없긴하네요~아이가 먹어보고 싶다고 해서 샀는데.. 한번쯤 재미로 샀다고 생각하고 넘어갈려고해도 가격이 비싸긴해요~^^;;;,0.0
줄서면서까지 먹을정도는 아닌듯. .,1.0
분위기 좋고 맛있네요~강추~!!,1.0
오늘 갔다왔는데 매장 분위기도 너무 좋고 직원분도 너무 친절하시고 음식도 양많이 해달라고 요청했더니 양을 엄청 많이 주셨더라구요~배부르게 잘먹고 갑니다~^^,1.0
"정말 요리에 모든 걸 거는 가게라는 생각이 듭니다. 인테리어나 다른 요소들 보다는 요리 맛 하나로 모든 걸 말해 줍니다. 합리적인 가격에 제대로된 빵과 스파게티, 추천합니다.",1.0
깔끔한 맛 굿굿,1.0
인생맛집 또 방문하겠습니다!,1.0
40년 넘은 짬뽕 맛집 나만알고 싶은곳,1.0
마라탕 진짜 맛있네요 잘먹고있어용,1.0
리얼 현지 마라 맛입니당!!! 강추!!!,1.0
스프가 조금 짜다. 맛은 보통 조금 더 청결했으면 좋겠다,1.0
음식나오면 사진보다 먹으라는 말이 좋네요. 가격에 비해 양도 푸짐하게 먹을 수 있어서 맘에 들어요. 거의 남김 없이 너무 다 먹어서 맛 없었다고 할 수 없어요,1.0
좋아요!,1.0
가성비 굿~~~,1.0
별로임 의자도 불편하고 전기 콘서트 하나 꼽는데 없음,0.0
음식은 맛있고 직원분들은 모두 친절합니다. 오랜만에 만난 친구들 넷이 갔는데 모두 만족했어요. 제가 정말 좋아하는 곳입니다.,1.0
사람의 인심이 변하면 안되는데 원두 종류별로 있어서 좋아했던 곳인데 인심은 점점 야박해짐   인심이 홀쭉해지네요 커피맛은 점점 써지는데 사장님 로스팅 실력이 바뀌는건지 아님 원가 절감을 위해 로스팅을 변화시킨건지 여러모로 아쉬움이 남고 있습니다 다른곳도 미리미리 찾아야겠습니다,0.0
맛있어요~~~~~,1.0
