상가업소번호,가게명,리뷰 개수,긍정 리뷰 개수,부정 리뷰 개수,긍정 리뷰 비율,부정 리뷰 비율
1109,어니언 안국,487,470,17,96.5,3.5
1104,오설록 티하우스 북촌점,215,209,6,97.2,2.8
1115,블루보틀 삼청 카페,170,158,12,92.9,7.1
1103,프릳츠 원서점,165,161,4,97.6,2.4
1100,소금집델리 안국,131,126,5,96.2,3.8
MA010120220811823342,땡스오트 안국,131,122,9,93.1,6.9
MA010120220801049024,삼청빙수,114,107,7,93.9,6.1
MA010120220805148419,모자이크 베이커리 북촌점,113,111,2,98.2,1.8
MA010120220814042518,핑크래빗가든,110,107,3,97.3,2.7
MA0101202212A0020676,갓잇 안국점,105,102,3,97.1,2.9
MA010120220808537838,달,100,82,18,82.0,18.0
MA010120220811199992,청수정,98,89,9,90.8,9.2
MA010120220800223084,자작나무이야기,97,90,7,92.8,7.2
MA010120220804670209,백미당 삼청점,94,85,9,90.4,9.6
MA010120220807404834,안암,89,87,2,97.8,2.2
MA010120220800002167,경춘자의라면땡기는날,88,82,6,93.2,6.8
MA010120220811926927,연남토마 북촌점,88,82,6,93.2,6.8
MA010120220810354223,도트블랭킷 안국점,86,86,0,100.0,0.0
MA010120220800065181,우드앤브릭,84,80,4,95.2,4.8
MA010120220805171860,미트볼라운지 X 아날로그키친 삼청점,84,80,4,95.2,4.8
1111,부빙,83,80,3,96.4,3.6
MA010120220809847761,브루다 안국,81,79,2,97.5,2.5
MA010120220810377480,진작카키,80,76,4,95.0,5.0
1108,월영당 서울,79,76,3,96.2,3.8
MA010120220800016329,눈나무집,77,73,4,94.8,5.2
1124,앙시엔,73,71,2,97.3,2.7
MA010120220813341060,만가타,70,68,2,97.1,2.9
MA010120220808731523,부띠끄경성,68,66,2,97.1,2.9
MA010120220800035353,RadioM 삼청점,68,63,5,92.6,7.4
MA010120220800034932,조선김밥,68,61,7,89.7,10.3
MA010120220806666078,회화나무,67,64,3,95.5,4.5
MA010120220800016575,스미스가좋아하는한옥,67,60,7,89.6,10.4
MA010120220811492883,꽃밥에피다 북촌 친환경 그로서란트,66,66,0,100.0,0.0
MA010120220808031655,로우루프,65,60,5,92.3,7.7
1129,텅,64,63,1,98.4,1.6
