호텔,리뷰 개수,긍정 리뷰 개수,부정 리뷰 개수,긍정 리뷰 비율,부정 리뷰 비율
도토리가든,316,302,14,95.6,4.4
어니언 안국,259,241,18,93.1,6.9
오설록 티하우스 북촌점,182,178,4,97.8,2.2
진작카키,180,174,6,96.7,3.3
블루보틀 삼청 카페,171,154,17,90.1,9.9
삼방매,160,155,5,96.9,3.1
소금집델리 안국,147,142,5,96.6,3.4
핑크래빗가든,134,131,3,97.8,2.2
모자이크 베이커리 북촌점,129,129,0,100.0,0.0
퀸즈베이커리 삼청점,129,128,1,99.2,0.8
땡스오트 안국,126,124,2,98.4,1.6
프릳츠 원서점,119,113,6,95.0,5.0
노란상소갈비 안국역점,111,105,6,94.6,5.4
경춘자의라면땡기는날,105,98,7,93.3,6.7
오픈원,104,99,5,95.2,4.8
갓잇 안국점,97,91,6,93.8,6.2
커피브론즈,91,88,3,96.7,3.3
북촌김치재,89,87,2,97.8,2.2
침스버거,87,85,2,97.7,2.3
베커린 안국점,86,84,2,97.7,2.3
우드앤브릭,83,77,6,92.8,7.2
안암,81,78,3,96.3,3.7
도트블랭킷 안국점,81,78,3,96.3,3.7
플롭 안국,78,75,3,96.2,3.8
언코르크드,78,78,0,100.0,0.0
백미당 삼청점,75,73,2,97.3,2.7
순이네가게,75,69,6,92.0,8.0
연남토마 북촌점,74,67,7,90.5,9.5
대림국수 안국점,73,66,7,90.4,9.6
도라보울,71,67,4,94.4,5.6
어텐디 북촌,64,63,1,98.4,1.6
애호락,63,59,4,93.7,6.3
텅,63,59,4,93.7,6.3
벨라쿠키 안국,62,60,2,96.8,3.2
일월카츠,62,61,1,98.4,1.6
RadioM 삼청점,61,61,0,100.0,0.0
데시데,58,58,0,100.0,0.0
청수정,57,55,2,96.5,3.5
먹쉬돈나 삼청동점,56,46,10,82.1,17.9
썸머골드,55,54,1,98.2,1.8
꽃누리들밥 경복궁점,55,54,1,98.2,1.8
티테라피,54,52,2,96.3,3.7
기와탭룸,52,52,0,100.0,0.0
아티장 크로아상,52,48,4,92.3,7.7
몽중헌 안국점,50,49,1,98.0,2.0
마음을담아내면,50,48,2,96.0,4.0
월영당 서울,50,50,0,100.0,0.0
스미스가좋아하는한옥,50,49,1,98.0,2.0
공공재 커피클럽,47,46,1,97.9,2.1
스미레돈카츠 안국점,46,44,2,95.7,4.3
회화나무,46,45,1,97.8,2.2
정담은보쌈 북촌점,45,44,1,97.8,2.2
팔발라 삼청본점,44,41,3,93.2,6.8
베테카텐,44,41,3,93.2,6.8
편안한집,44,43,1,97.7,2.3
이화돈까스,43,40,3,93.0,7.0
르꼬숑,42,42,0,100.0,0.0
부띠끄경성,42,39,3,92.9,7.1
비어셰프냐항,42,41,1,97.6,2.4
미트볼라운지 X 아날로그키친 삼청점,42,40,2,95.2,4.8
슬로우파크,41,41,0,100.0,0.0
브루다 안국,41,36,5,87.8,12.2
북촌손만두 삼청동점,41,37,4,90.2,9.8
커넥트계동,41,41,0,100.0,0.0
부영도가니탕,40,39,1,97.5,2.5
자작나무이야기,40,37,3,92.5,7.5
조선김밥,40,40,0,100.0,0.0
감동칩스 북촌본점,38,36,2,94.7,5.3
고메오드,38,38,0,100.0,0.0
만가타,38,38,0,100.0,0.0
시래기담은,38,38,0,100.0,0.0
아이사구아,37,36,1,97.3,2.7
대장장이화덕피자,37,35,2,94.6,5.4
마산해물아구찜,37,36,1,97.3,2.7
퀸넬브릴 삼청,37,35,2,94.6,5.4
등촌샤브칼국수 안국역점,36,35,1,97.2,2.8
델픽,36,35,1,97.2,2.8
모퉁이네,36,33,3,91.7,8.3
리틀버틀러,35,34,1,97.1,2.9
밀과보리,35,34,1,97.1,2.9
개성철렵 & 루프탑 나위,34,34,0,100.0,0.0
브릭샌드 삼청점,34,32,2,94.1,5.9
콜디우드 안국,33,29,4,87.9,12.1
리김밥 현대건설점,32,30,2,93.8,6.2
하프커피 안국,32,31,1,96.9,3.1
오뉴하우스,32,32,0,100.0,0.0
카페진선,32,30,2,93.8,6.2
청국장밥,32,28,4,87.5,12.5
삼청빙수,31,26,5,83.9,16.1
비담 CAFE&BAR,31,28,3,90.3,9.7
비원손칼국수,31,28,3,90.3,9.7
노우즈안국,31,31,0,100.0,0.0
아비꼬 안국역점,30,29,1,96.7,3.3
미술관옆 돈까스,30,29,1,96.7,3.3
카페포엠 북촌점,30,25,5,83.3,16.7
국수명가,30,23,7,76.7,23.3
이채 카페,30,30,0,100.0,0.0
행복한 베이커리카페,30,30,0,100.0,0.0
눈나무집,29,29,0,100.0,0.0
헤비스테이크 안국역점,29,28,1,96.6,3.4
인사동쭈꾸미,28,26,2,92.9,7.1
동백식당,28,28,0,100.0,0.0
그린마일커피 북촌점,27,27,0,100.0,0.0
화양연화,27,26,1,96.3,3.7
온6.5,27,26,1,96.3,3.7
지유가오카핫초메 삼청점,27,25,2,92.6,7.4
달,26,25,1,96.2,3.8
꿀밥상,26,24,2,92.3,7.7
온더그라운드,25,22,3,88.0,12.0
별궁식당,25,24,1,96.0,4.0
쏘리 에스프레소바 창덕궁점,25,25,0,100.0,0.0
담미온 안국점,25,24,1,96.0,4.0
반타이,24,24,0,100.0,0.0
비엣 꽌,23,22,1,95.7,4.3
황금정,23,23,0,100.0,0.0
카페로쏘,23,21,2,91.3,8.7
제이네,23,21,2,91.3,8.7
런던베이글뮤지엄,22,21,1,95.5,4.5
네마커피 삼청점,22,22,0,100.0,0.0
피크닉,22,21,1,95.5,4.5
부빙,22,22,0,100.0,0.0
은설설렁탕,21,21,0,100.0,0.0
무에,21,20,1,95.2,4.8
아재커피 북촌점 AZE COFFEE,20,20,0,100.0,0.0
북촌쭈꾸미,20,17,3,85.0,15.0
앙시엔,20,20,0,100.0,0.0
바스켓12 계동,20,20,0,100.0,0.0
호랑이카레,20,19,1,95.0,5.0
호아드 카페&갤러리,20,18,2,90.0,10.0
하궁,19,18,1,94.7,5.3
황칠가 안국점,18,18,0,100.0,0.0
계동피자,18,18,0,100.0,0.0
커피 팩토리,18,16,2,88.9,11.1
더베이커스테이블,18,16,2,88.9,11.1
