호텔,리뷰 개수,긍정 리뷰 개수,부정 리뷰 개수,긍정 리뷰 비율,부정 리뷰 비율
고든램지 스트리트 피자 서울숲점,237,212,25,89.5,10.5
쎄콩데live,233,231,2,99.1,0.9
성수옥상,227,225,2,99.1,0.9
누데이크 성수점,195,178,17,91.3,8.7
크림라벨 서울숲 본점,182,176,6,96.7,3.3
캐주얼성수,168,167,1,99.4,0.6
테니,160,155,5,96.9,3.1
노이,154,149,5,96.8,3.2
테디스오븐,149,145,4,97.3,2.7
데우스 카페 성수점,140,137,3,97.9,2.1
신사소곱창 성수점,134,131,3,97.8,2.2
보마켓 서울숲점,132,126,6,95.5,4.5
보끔당 성수점,131,130,1,99.2,0.8
메종 파이프그라운드,127,123,4,96.9,3.1
모모야 성수점,124,121,3,97.6,2.4
퍼먼트,121,115,6,95.0,5.0
카멜커피 7호점,120,110,10,91.7,8.3
타이거풀,119,119,0,100.0,0.0
미도인 성수,118,114,4,96.6,3.4
두 투리에,116,115,1,99.1,0.9
권식족발 성수본점,112,111,1,99.1,0.9
고집132 성수본점,109,109,0,100.0,0.0
스케줄 성수,106,101,5,95.3,4.7
성수온실,103,101,2,98.1,1.9
성수옥아궁지 성수본점,103,102,1,99.0,1.0
마씨,103,103,0,100.0,0.0
쎈느Scene,101,97,4,96.0,4.0
연남토마 성수점,100,96,4,96.0,4.0
위드번,100,98,2,98.0,2.0
팔각도 성수역점,98,96,2,98.0,2.0
천하제일 솥뚜껑,98,95,3,96.9,3.1
투썸플레이스 성수skv타워점,97,93,4,95.9,4.1
투데이즈이너프,96,94,2,97.9,2.1
로우키,96,88,8,91.7,8.3
맘스터치 성수역점,96,87,9,90.6,9.4
로우커피스탠드,96,92,4,95.8,4.2
파머스카페,95,89,6,93.7,6.3
정돈 성수점,93,87,6,93.5,6.5
이오로비스트로,91,89,2,97.8,2.2
롯데리아 성수역점,88,77,11,87.5,12.5
올댓커피 포레스트점,87,85,2,97.7,2.3
라무라 성수,87,80,7,92.0,8.0
꽌코이,85,84,1,98.8,1.2
크리스탈드래곤 성수낙낙점,85,81,4,95.3,4.7
훼미리손칼국수보쌈,83,81,2,97.6,2.4
르프리크,83,82,1,98.8,1.2
잠수교집 성수 직영점,83,79,4,95.2,4.8
카카모루 성수점,82,82,0,100.0,0.0
훔볼트,81,77,4,95.1,4.9
까망,81,80,1,98.8,1.2
젠젠 성수점,81,78,3,96.3,3.7
문츠 바베큐,81,81,0,100.0,0.0
천상가옥,80,77,3,96.2,3.8
앤드밀 성수점,80,72,8,90.0,10.0
강남면옥 성수점,80,77,3,96.2,3.8
메가MGC커피 서울숲역점,80,74,6,92.5,7.5
누메로도스,79,74,5,93.7,6.3
만학,78,75,3,96.2,3.8
베티버 성수,78,77,1,98.7,1.3
세디치,78,77,1,98.7,1.3
망티커피 성수점,77,69,8,89.6,10.4
윤경양식당,75,72,3,96.0,4.0
후라토식당 성수점,75,73,2,97.3,2.7
써브웨이 성수역점,75,68,7,90.7,9.3
팜티진쌀국수,74,72,2,97.3,2.7
칼,73,70,3,95.9,4.1
벱,73,73,0,100.0,0.0
포어플랜,73,71,2,97.3,2.7
미쁘동 서울숲,72,65,7,90.3,9.7
꿉당 성수점,72,66,6,91.7,8.3
메가MGC커피 성수일로점,71,63,8,88.7,11.3
오프트,71,70,1,98.6,1.4
노모어피자 서울숲점,70,64,6,91.4,8.6
대성갈비,70,68,2,97.1,2.9
기러기둥지 성수,69,61,8,88.4,11.6
뚝 다이닝,68,65,3,95.6,4.4
서울바나나,68,61,7,89.7,10.3
스윗바이브,67,65,2,97.0,3.0
쿠나,67,65,2,97.0,3.0
성수노루,66,63,3,95.5,4.5
"밤의, 와인테라스&낮의, 피자테라스",66,66,0,100.0,0.0
노가리마켓 서울숲,66,55,11,83.3,16.7
엘더버거,66,63,3,95.5,4.5
소인수서울 본점,65,60,5,92.3,7.7
홍콩반점0410 성수역점,65,65,0,100.0,0.0
할머니의 레시피,65,63,2,96.9,3.1
더블해피니스 성수,64,63,1,98.4,1.6
성수이루다,64,64,0,100.0,0.0
아카이브 서울,64,64,0,100.0,0.0
빠오즈푸 서울숲직영점,64,59,5,92.2,7.8
포도젝트,63,63,0,100.0,0.0
하프커피 성수,63,58,5,92.1,7.9
바이레인,62,61,1,98.4,1.6
포배럴카페,62,59,3,95.2,4.8
도도한면 성수본점,62,61,1,98.4,1.6
화화담 성수,61,57,4,93.4,6.6
춘배버거,61,58,3,95.1,4.9
오레노카츠 성수본점,61,56,5,91.8,8.2
일일향 성수10호점,61,55,6,90.2,9.8
잇샐러드 성수점,61,60,1,98.4,1.6
