상가업소번호,가게명,리뷰 개수,긍정 리뷰 개수,부정 리뷰 개수,긍정 리뷰 비율,부정 리뷰 비율
MA010120220809778726,노가리마켓 서울숲,396,392,4,99.0,1.0
MA010120220808201784,고든램지 스트리트 피자 서울숲점,221,198,23,89.6,10.4
MA0101202301A0002226,오마카세 오사이초밥 성수점,204,203,1,99.5,0.5
MA0101202211A0055770,아파스타먼,196,195,1,99.5,0.5
MA010120220802991908,쎄콩데live,182,178,4,97.8,2.2
MA010120220810093643,젠젠 성수점,181,177,4,97.8,2.2
MA010120220803219660,두 투리에,173,173,0,100.0,0.0
MA010120220809625599,마씨,171,171,0,100.0,0.0
MA010120220803096271,구욱희씨 서울숲점,170,166,4,97.6,2.4
2223,누데이크 성수점,153,142,11,92.8,7.2
MA010120220809866172,노이,145,143,2,98.6,1.4
MA010120220806794001,호루몬규상,141,140,1,99.3,0.7
MA010120220803074311,성수이루다,141,139,2,98.6,1.4
MA010120220803025584,테니,138,131,7,94.9,5.1
MA010120220804886041,도치피자 성수,137,137,0,100.0,0.0
MA010120220807012300,크림라벨 서울숲 본점,134,129,5,96.3,3.7
MA0101202301A0062204,브리비트,129,129,0,100.0,0.0
MA010120220805022129,권식족발 성수본점,124,124,0,100.0,0.0
MA010120220803588777,파머스카페,123,120,3,97.6,2.4
MA010120220805221379,로우커피스탠드,119,119,0,100.0,0.0
MA0101202302A0052490,조조칼국수 성수점,119,117,2,98.3,1.7
MA010120220814207284,스케줄 성수,114,108,6,94.7,5.3
MA010120220805534983,크리스탈드래곤 성수낙낙점,111,111,0,100.0,0.0
MA010120220808602063,보끔당 성수점,106,106,0,100.0,0.0
2209,핫쵸 성수점,106,100,6,94.3,5.7
MA0101202209A0093907,신사소곱창 성수점,105,104,1,99.0,1.0
MA010120220808452117,퍼먼트,104,101,3,97.1,2.9
MA010120220807766997,메종 파이프그라운드,102,99,3,97.1,2.9
MA010120220807114222,고집132 성수본점,101,98,3,97.0,3.0
MA010120220813148633,투파인드피터 서울성수점,100,99,1,99.0,1.0
MA010120220802406663,해밀칼국수&김밥,100,97,3,97.0,3.0
MA010120220809708157,테디스오븐,99,97,2,98.0,2.0
MA0101202212A0023062,쿠키도우즈,97,96,1,99.0,1.0
MA010120220806968029,앤드밀 성수점,96,90,6,93.8,6.2
MA010120220803358080,비스트리오,96,95,1,99.0,1.0
MA010120220805803862,로우키,94,92,2,97.9,2.1
2204,르프리크,94,92,2,97.9,2.1
MA010120220806706775,후라토식당 성수점,91,90,1,98.9,1.1
MA010120220813886161,맘스터치 성수역점,91,82,9,90.1,9.9
