호텔,리뷰 개수,긍정 리뷰 개수,부정 리뷰 개수,긍정 리뷰 비율,부정 리뷰 비율
커피크레페본점,421,418,3,99.3,0.7
백소정 신촌점,417,416,1,99.8,0.2
룸의정석 신촌점,300,296,4,98.7,1.3
대끼리 돈까스,220,220,0,100.0,0.0
천궁전마라탕,200,200,0,100.0,0.0
카린지린가네스낵바 신촌점,197,193,4,98.0,2.0
오늘와인한잔 신촌역점,189,189,0,100.0,0.0
탈리,189,185,4,97.9,2.1
오므파탈 신촌점,182,182,0,100.0,0.0
호탕마라탕,175,175,0,100.0,0.0
마더린러 베이글,123,122,1,99.2,0.8
독립문설렁탕,110,107,3,97.3,2.7
형제갈비,110,106,4,96.4,3.6
메가MGC커피 신촌로터리점,102,102,0,100.0,0.0
잠바주스 연세세브란스점,100,95,5,95.0,5.0
브릭스5221맥주 신촌점,97,96,1,99.0,1.0
기꾸스시,96,88,8,91.7,8.3
파리바게뜨 카페이대역점,96,90,6,93.8,6.2
청춘대로,93,92,1,98.9,1.1
보승회관 서울신촌점,92,87,5,94.6,5.4
명륜진사갈비 서울신촌점,88,88,0,100.0,0.0
머노까머나 신촌점,88,88,0,100.0,0.0
지니네컵밥,88,88,0,100.0,0.0
롯데리아 이대점,86,85,1,98.8,1.2
역전우동0410 신촌점,86,83,3,96.5,3.5
플라페,84,83,1,98.8,1.2
티앙팡 오후의 홍차,82,82,0,100.0,0.0
고르드,81,79,2,97.5,2.5
영미김밥,81,79,2,97.5,2.5
맘스터치 이대점,81,78,3,96.3,3.7
돈까스대왕전 이대점,78,78,0,100.0,0.0
타코벨 신촌점,78,76,2,97.4,2.6
백년당 마라탕 본점,77,76,1,98.7,1.3
투썸플레이스 이대역점,76,71,5,93.4,6.6
이디야커피 신촌역점,76,73,3,96.1,3.9
미스타교자 신촌,74,73,1,98.6,1.4
싸다김밥 신촌점,74,72,2,97.3,2.7
리버트리커피,73,73,0,100.0,0.0
오늘통닭 신촌직영점,72,71,1,98.6,1.4
이삭토스트 서울신촌점,72,72,0,100.0,0.0
옥희네 떡볶이,70,69,1,98.6,1.4
삭 수제튀김 전문점,69,65,4,94.2,5.8
엠브로돈까스 신촌본점,67,65,2,97.0,3.0
피슈마라홍탕 신촌점,66,66,0,100.0,0.0
메가MGC커피 창천점,65,60,5,92.3,7.7
대성이네,65,65,0,100.0,0.0
대파곱창,65,63,2,96.9,3.1
포베이 연세암병원점,64,63,1,98.4,1.6
사장님돈까스 이화여대점,64,63,1,98.4,1.6
헤이진,64,64,0,100.0,0.0
리히트,64,64,0,100.0,0.0
타오마라탕 신촌점,64,64,0,100.0,0.0
롤링파스타 신촌점,62,58,4,93.5,6.5
김진환 제과점,61,61,0,100.0,0.0
빽다방 신촌역점,60,59,1,98.3,1.7
돈우마미,60,60,0,100.0,0.0
팔공티 신촌점,60,58,2,96.7,3.3
부탄츄 신촌점,59,56,3,94.9,5.1
연희김밥 신촌점,57,57,0,100.0,0.0
구씨네부엌,57,57,0,100.0,0.0
또보겠지떡볶이집 신촌히어로점,56,55,1,98.2,1.8
소바연구소,55,52,3,94.5,5.5
금고기비스트로 신촌,53,51,2,96.2,3.8
고향전주비빔밥 현대백화점신촌점,53,51,2,96.2,3.8
마녀주방 신촌점,53,49,4,92.5,7.5
맘맘테이블,52,52,0,100.0,0.0
김광석신촌칼국수 본점,52,48,4,92.3,7.7
춘천집닭갈비본사직영철판구이,52,51,1,98.1,1.9
본죽 세브란스병원점,51,47,4,92.2,7.8
방콕익스프레스 신촌본점,50,49,1,98.0,2.0
닥터로빈 이대점,50,50,0,100.0,0.0
소신이쏘 신촌본점,50,47,3,94.0,6.0
클로리스 신촌본점,49,47,2,95.9,4.1
김삼보김치찌개 신촌점,49,49,0,100.0,0.0
씨유그릭,49,48,1,98.0,2.0
독수리다방,48,46,2,95.8,4.2
호루몬 우직,48,48,0,100.0,0.0
버거리 신촌점,47,47,0,100.0,0.0
비아37,46,45,1,97.8,2.2
레이지리자드,46,46,0,100.0,0.0
라구식당,45,45,0,100.0,0.0
인타코타코야끼&캔카페,45,45,0,100.0,0.0
던킨 연대동문회관점,44,43,1,97.7,2.3
팔공티 이대점,44,43,1,97.7,2.3
포티드,43,41,2,95.3,4.7
연세로갈매기,43,43,0,100.0,0.0
카페나무,43,41,2,95.3,4.7
야곱의축복 신촌점,43,43,0,100.0,0.0
복성각,42,41,1,97.6,2.4
춘천집 닭갈비막국수,42,42,0,100.0,0.0
맛있는순두부&김치찜,42,37,5,88.1,11.9
강남불백 신촌점,42,41,1,97.6,2.4
던킨 연세안과병원점,42,40,2,95.2,4.8
매머드익스프레스 이대점,42,41,1,97.6,2.4
파스쿠찌 연세세브란스2호점,41,38,3,92.7,7.3
카우떡볶이,41,41,0,100.0,0.0
삼산회관 신촌점,41,40,1,97.6,2.4
아마,41,41,0,100.0,0.0
매머드익스프레스 신촌점,41,40,1,97.6,2.4
아마스빈 이대점,40,38,2,95.0,5.0
코쿤캅,40,40,0,100.0,0.0
김밥천국 신촌점,40,39,1,97.5,2.5
왓츠 유얼 컬러,40,39,1,97.5,2.5
섬채,39,39,0,100.0,0.0
더진국 수육국밥 신촌점,39,37,2,94.9,5.1
로봇김밥 세브란스점,39,38,1,97.4,2.6
본우리반상 신촌세브란스점,38,38,0,100.0,0.0
공차 이대역점,38,38,0,100.0,0.0
에어플레인모드,38,38,0,100.0,0.0
라 본느 타르트,37,36,1,97.3,2.7
탐앤탐스 신촌로터리점,37,36,1,97.3,2.7
볼타,37,37,0,100.0,0.0
프라이빗 신촌점,37,35,2,94.6,5.4
여우골초밥 신촌점,37,37,0,100.0,0.0
홍콩반점0410 신촌2호점,36,34,2,94.4,5.6
